,appid,all-descriptions
140,242820," Single-player Steam Achievements Full controller support Steam Trading Cards Steam Cloud Remote Play on TV Action Indie 140 is a challenging minimalistic platformer with abstract colorful graphics. Rhythmic awareness is required to overcome obstacles controlled by an energetic, yet melancholic electronic soundtrack.The game is independently designed by Jeppe Carlsen, former lead gameplay designer at Playdead.Awards 140 is a challenging minimalistic platformer with abstract colorful graphics. Rhythmic awareness is required to overcome obstacles controlled by an energetic, yet melancholic electronic soundtrack.The game is independently designed by Jeppe Carlsen, former lead gameplay designer at Playdead.Awards 140 is a challenging minimalistic platformer with abstract colorful graphics. Rhythmic awareness is required to overcome obstacles controlled by an energetic, yet melancholic electronic soundtrack."
15 Days,342990," Single-player Steam Cloud Adventure Casual Indie A three-man activist group has set out to make the world a better place by stealing famous pieces of art in the world's most renowned museums, selling them to private collectors, and donating the money to charity.Though hunted by police forces, the group manages to stage one successful coup after another - until one day a mysterious new client appears and the group finds itself in the middle of a political conspiracy...Key FeaturesMystery conspiracy adventure game with unexpected story twistsCurrent, believable game worldContemporary visual languagePointed scriptFast-paced, dynamic narrationInteresting technical gadgets that allow realistic interaction with the environment4 different playable characters on both sides (police & activists)Accessible thanks to very moderate difficulty A three-man activist group has set out to make the world a better place by stealing famous pieces of art in the world's most renowned museums, selling them to private collectors, and donating the money to charity.Though hunted by police forces, the group manages to stage one successful coup after another - until one day a mysterious new client appears and the group finds itself in the middle of a political conspiracy...Key FeaturesMystery conspiracy adventure game with unexpected story twistsCurrent, believable game worldContemporary visual languagePointed scriptFast-paced, dynamic narrationInteresting technical gadgets that allow realistic interaction with the environment4 different playable characters on both sides (police & activists)Accessible thanks to very moderate difficulty A three-man activist group has set out to make the world a better place by stealing famous pieces of art in the world's most renowned museums, selling them to private collectors, and donating the money to charity."
16 Bit Arena,347630," Multi-player MMO Action Casual Free to Play Indie Massively Multiplayer RPG Strategy  It's FREE! Fight in turn-based multiplayer battles up to 9v9 with the old school graphics you've been missing! Enter battle as a Warrior, Mage, Rogue, or Healer of either gender, and use a card to transform into any of 16 characters, combining their stats and abilties with your class's!  Elemental properties for every character; collect gems that let you choose yours, and cast its magic!  Gain Charge during battle to do more damage, boost specific stats, and more-- or just save your turns for later and pummel an enemy all at once!  A rockingly awesome soundtrack!  Journey through eight intense Trials to gain cards and gems for use in the Arena!  Enjoy the 2-player tactical-RPG-style Card Game-- a great additional game on its own, it lets you earn cards and gems too!  In the mood to just chat for a bit?  Hang out in the lobbies, the Card Game, or even the audience of the Arena! Wins in large battles are recorded to the server and periodically posted, so people can see where you rank! Updated just before the Steam release with new backgrounds and other improvements! Play as a Champion (boss) and take on 9 enemies at once!  It's FREE! Fight in turn-based multiplayer battles up to 9v9 with the old school graphics you've been missing! Enter battle as a Warrior, Mage, Rogue, or Healer of either gender, and use a card to transform into any of 16 characters, combining their stats and abilties with your class's!  Elemental properties for every character; collect gems that let you choose yours, and cast its magic!  Gain Charge during battle to do more damage, boost specific stats, and more-- or just save your turns for later and pummel an enemy all at once!  A rockingly awesome soundtrack!  Journey through eight intense Trials to gain cards and gems for use in the Arena!  Enjoy the 2-player tactical-RPG-style Card Game-- a great additional game on its own, it lets you earn cards and gems too!  In the mood to just chat for a bit?  Hang out in the lobbies, the Card Game, or even the audience of the Arena! Wins in large battles are recorded to the server and periodically posted, so people can see where you rank! Updated just before the Steam release with new backgrounds and other improvements! Play as a Champion (boss) and take on 9 enemies at once! It's time for a 16-bit beatdown! Enjoy the Card Game, Trials, chatting, and rockin' to some awesome music as you fight in retro-style battles up to 9v9! Also-- it's FREE!"
16bit Trader,375460," Single-player Steam Achievements Steam Trading Cards Steam Cloud Steam Leaderboards Adventure Casual Indie RPG Simulation Strategy 16bit Trader is an casual brother of our other trading game: Merchants of Kaidan.

Take revenge on your father’s killer, and become the richest merchant in the kingdom! Immerse yourself in this old-school nostalgia-inducing trading experience.

Step into the shoes of a medieval traveling merchant, whose life boils down to one simple sentence: you got to buy cheap, and you got to sell high. Travel between the cities and villages of the realm in search of cheap goods to acquire, various quests to accomplish and wealth to accumulate. Visit local taverns for latest local gossip. Gain influential friends who may help you along the way. Hire companions to assist you if you run into vile bandits or unpredictable events. Pursue rumors of great harvest and goods shortages to find the best deals. Search for local people in need and they may reward you handsomely for your help. Expand your company, invest in it, and get rich in no time! And if you’re for a bit of a thrill, visit ancient landmark and search for valuable artifacts. Take the challenge and become the richest merchantman in the world and get revenge!

Play at your own pace. Casually travel through the realm if you want to relax. Monitor every price change, pursue every rumor, manage every detail if you want to achieve best results!

- Dozens of different cities and villages
- Tens of various quests to accomplish
- Great graphics with an old-school 16-bit vibe
- Easy to get to know, hard to master
- Random encounters 16bit Trader is an casual brother of our other trading game: Merchants of Kaidan.

Take revenge on your father’s killer, and become the richest merchant in the kingdom! Immerse yourself in this old-school nostalgia-inducing trading experience.

Step into the shoes of a medieval traveling merchant, whose life boils down to one simple sentence: you got to buy cheap, and you got to sell high. Travel between the cities and villages of the realm in search of cheap goods to acquire, various quests to accomplish and wealth to accumulate. Visit local taverns for latest local gossip. Gain influential friends who may help you along the way. Hire companions to assist you if you run into vile bandits or unpredictable events. Pursue rumors of great harvest and goods shortages to find the best deals. Search for local people in need and they may reward you handsomely for your help. Expand your company, invest in it, and get rich in no time! And if you’re for a bit of a thrill, visit ancient landmark and search for valuable artifacts. Take the challenge and become the richest merchantman in the world and get revenge!

Play at your own pace. Casually travel through the realm if you want to relax. Monitor every price change, pursue every rumor, manage every detail if you want to achieve best results!

- Dozens of different cities and villages
- Tens of various quests to accomplish
- Great graphics with an old-school 16-bit vibe
- Easy to get to know, hard to master
- Random encounters Take revenge on your father’s killer!"
1701 A.D. Gold Edition,-1,
1701 A.D. Sunken Dragon,-1,
18 Wheels of Steel American Long Haul,-1,
1953 - KGB Unleashed,248490," Single-player Steam Cloud Adventure Steam GreenlightAbout the GameDeveloped by Phantomery Interactive, 1953 – KGB Unleashed is a tense and atmospheric First Person Adventure set deep within the bowels of a Soviet bunker during the Cold War. Players must uncover the dark and horrifc secrets buried within, fighting their own paranoia along the way as well as the possibility of all-too-real terrors within the bunker. Are the voices emanating from all around you real, or just an hallucination resulting from your isolation? Will you manage to escape into the warm embrace of daylight, or will you be trapped within the foreboding menace of the bunker?Only in 1953 – KGB Unleashed can the answers be found!“1953 – KGB  Unleashed” is based on real projects conducted by the Ministry of State Security of the USSR (the former KGB). During that time they pushed the limits of human endurance, testing for the possibility of telepathy, as well as researching the psychological impact of fear on the human brain. The photo-realistic visual style of “1953 – KGB Unleashed” recreates the USSR of the fifties: the underground shelter’s interior is constructed using real Soviet military plans, and the materials found there are based on historically valid documents. Explore a hidden laboratory where such experiments were conducted in order to learn the truth behind the terrifying events that led to the closure of the project and the liquidation of its staff. An atmosphere of isolation and suspense pervades throughout, bringing you face to face with your own fears, while the voice of invisible “observer” broadcasts over the internal communications system. Is this observer a friend, or an enemy? Your exploration of this perfectly-preserved complex may uncover what these experiments unlocked deep within the human psyche — but will you survive these revelations intact?FeaturesSecret underground areas with special KGB objects Staggering puzzles and many challenging mind gameRealistically created 1950’s atmosphere Developed by Phantomery Interactive, 1953 – KGB Unleashed is a tense and atmospheric First Person Adventure set deep within the bowels of a Soviet bunker during the Cold War. Players must uncover the dark and horrifc secrets buried within, fighting their own paranoia along the way as well as the possibility of all-too-real terrors within the bunker. Are the voices emanating from all around you real, or just an hallucination resulting from your isolation? Will you manage to escape into the warm embrace of daylight, or will you be trapped within the foreboding menace of the bunker?Only in 1953 – KGB Unleashed can the answers be found!“1953 – KGB  Unleashed” is based on real projects conducted by the Ministry of State Security of the USSR (the former KGB). During that time they pushed the limits of human endurance, testing for the possibility of telepathy, as well as researching the psychological impact of fear on the human brain. The photo-realistic visual style of “1953 – KGB Unleashed” recreates the USSR of the fifties: the underground shelter’s interior is constructed using real Soviet military plans, and the materials found there are based on historically valid documents. Explore a hidden laboratory where such experiments were conducted in order to learn the truth behind the terrifying events that led to the closure of the project and the liquidation of its staff. An atmosphere of isolation and suspense pervades throughout, bringing you face to face with your own fears, while the voice of invisible “observer” broadcasts over the internal communications system. Is this observer a friend, or an enemy? Your exploration of this perfectly-preserved complex may uncover what these experiments unlocked deep within the human psyche — but will you survive these revelations intact?FeaturesSecret underground areas with special KGB objects Staggering puzzles and many challenging mind gameRealistically created 1950’s atmosphere Developed by Phantomery Interactive, 1953 – KGB Unleashed is a tense and atmospheric First Person Adventure set deep within the bowels of a Soviet bunker during the Cold War. Players must uncover the dark and horrifc secrets buried within, fighting their own paranoia along the way as well as the possibility of all-too-real terrors within..."
1953 NATO vs Warsaw Pact,-1,
1954 Alcatraz,255280," Single-player Steam Achievements Steam Trading Cards Steam Cloud Adventure Indie 1954: Alcatraz – The cash is out there. But who will get it?Joe's doing 40 years on Alcatraz for a heist on an armored truck. The loot is still hidden out there, but only Joe knows where it is. In the streets of San Francisco, Joe's ex-accomplices and his wife are eager to find the stolen money. Who will get their hands on the dough?In this interactive Point & Click adventure by Daedalic Entertainment and Irresponsible Games - the team of Gene Mocsy - Joe and his wife Christine will be playable characters. Players will decide between love, treachery, life and death: will Christine assist Joe during his prison break? Will they recover the fortune together? Or will they succumb to greed? Will Christine deceive her husband, taking revenge for all the disappointments and a marriage that brought her nothing but hardship? Will she just turn her back on Joe and hit the road with his former accomplices? Or will Joe gain everything in the end?1954: Alcatraz offers all what makes a great adventure: challenging puzzles, a mature crime story with a dynamic plot and various possible outcomes, and a whole bunch of shady characters: brutal felons, making life on The Rock even harder for Joe, while outside not only his partners-in-crime but also snoops and cops are after the money and Christine. The cinematic San Francisco of the 1950s, caught in a gritty comic style is a harsh place. But it's also a place where 1954: Alcatraz can also pay homage to history and zeitgeist, in form of the Beatnik culture and other contemporary themes..Key FeaturesTwo playable characters: the gangster couple Joe and ChristineMore than 20 additional 3D animated charactersMore than 60 hand drawn backdrops, based on original footage of San Francisco, North Beach and AlcatrazChallenging puzzles and exciting dialogues by Gene Mocsy, co-writer of Ghost Pirates of Vooju IslandAtmospheric Beat and Jazz soundtrack by Pedro Macedo Camacho (Fairytale Fights, Ghost Pirates of Vooju Island, A Vampyre Story, Audiosurf)In-game decisions extensively influence the plot and lead to various endings 1954: Alcatraz – The cash is out there. But who will get it?Joe's doing 40 years on Alcatraz for a heist on an armored truck. The loot is still hidden out there, but only Joe knows where it is. In the streets of San Francisco, Joe's ex-accomplices and his wife are eager to find the stolen money. Who will get their hands on the dough?In this interactive Point & Click adventure by Daedalic Entertainment and Irresponsible Games - the team of Gene Mocsy - Joe and his wife Christine will be playable characters. Players will decide between love, treachery, life and death: will Christine assist Joe during his prison break? Will they recover the fortune together? Or will they succumb to greed? Will Christine deceive her husband, taking revenge for all the disappointments and a marriage that brought her nothing but hardship? Will she just turn her back on Joe and hit the road with his former accomplices? Or will Joe gain everything in the end?1954: Alcatraz offers all what makes a great adventure: challenging puzzles, a mature crime story with a dynamic plot and various possible outcomes, and a whole bunch of shady characters: brutal felons, making life on The Rock even harder for Joe, while outside not only his partners-in-crime but also snoops and cops are after the money and Christine. The cinematic San Francisco of the 1950s, caught in a gritty comic style is a harsh place. But it's also a place where 1954: Alcatraz can also pay homage to history and zeitgeist, in form of the Beatnik culture and other contemporary themes..Key FeaturesTwo playable characters: the gangster couple Joe and ChristineMore than 20 additional 3D animated charactersMore than 60 hand drawn backdrops, based on original footage of San Francisco, North Beach and AlcatrazChallenging puzzles and exciting dialogues by Gene Mocsy, co-writer of Ghost Pirates of Vooju IslandAtmospheric Beat and Jazz soundtrack by Pedro Macedo Camacho (Fairytale Fights, Ghost Pirates of Vooju Island, A Vampyre Story, Audiosurf)In-game decisions extensively influence the plot and lead to various endings 1954: Alcatraz – The cash is out there. But who will get it?Joe's doing 40 years on Alcatraz for a heist on an armored truck. The loot is still hidden out there, but only Joe knows where it is. In the streets of San Francisco, Joe's ex-accomplices and his wife are eager to find the stolen money. Who will get their hands on the dough?"
1Heart,270190," Single-player Steam Achievements Steam Trading Cards Adventure Casual Indie 1Heart can be characterized as a point-and-click puzzler, but one that is bound to defy genre conventions. Its most distinctive feature lies in the undeniably unorthodox and deeply atmospheric art design.If you put a high value on game aesthetics and run-of-the-mill visuals turn you off from playing, the eye-catching, well-realised visuals of 1Heart will capture your imagination.   The tale of 1Heart follows a boy in search of his lost twin sister -- a chilling and tense journey that will see you traverse over 60 solitary,strange and often outright harrowing landscapes that brim with unique puzzles and more than a hundred usable items to aid your quest.Watch the trailer to find out more. 1Heart can be characterized as a point-and-click puzzler, but one that is bound to defy genre conventions. Its most distinctive feature lies in the undeniably unorthodox and deeply atmospheric art design.If you put a high value on game aesthetics and run-of-the-mill visuals turn you off from playing, the eye-catching, well-realised visuals of 1Heart will capture your imagination.   The tale of 1Heart follows a boy in search of his lost twin sister -- a chilling and tense journey that will see you traverse over 60 solitary,strange and often outright harrowing landscapes that brim with unique puzzles and more than a hundred usable items to aid your quest.Watch the trailer to find out more. Soviet City is a city management game in a totalitarian economy. In Soviet City life is not the purpose, it is a resource - just like coal and food. The totalitarian machine needs to keep running and that is all it matters. This economy needs a leader that can master the art of terror."
1Quest,332710," Single-player Steam Achievements Steam Trading Cards Steam Leaderboards Indie RPG 1Quest is a turn-based roguelike RPG where you play as a young adventurer who pursues an evil blood cult that has abducted several children, including the princess of the kingdom!You got 7 days before they can start their evil ritual to summon an ancient demon by sacrificing the children. Each region of the realm contains dungeons full of hostile creatures, but you will also find help and get various rewards depending on which path you take towards rescuing the children. But you need to hurry, if you want to save them all...Fight monsters, grab loot, become more powerful and prevent the blood cult from summoning the demon.Key featuresTurn based RPG5 races18 Differents classesMore than 150 class abilities and spells for charactersMore than 100 monsters20 Differents dungeons with specific rewardsMagic system based on spell schools and magic affinities for more diversity and replayability 1Quest is a turn-based roguelike RPG where you play as a young adventurer who pursues an evil blood cult that has abducted several children, including the princess of the kingdom!You got 7 days before they can start their evil ritual to summon an ancient demon by sacrificing the children. Each region of the realm contains dungeons full of hostile creatures, but you will also find help and get various rewards depending on which path you take towards rescuing the children. But you need to hurry, if you want to save them all...Fight monsters, grab loot, become more powerful and prevent the blood cult from summoning the demon.Key featuresTurn based RPG5 races18 Differents classesMore than 150 class abilities and spells for charactersMore than 100 monsters20 Differents dungeons with specific rewardsMagic system based on spell schools and magic affinities for more diversity and replayability 1Quest is a roguelike, a challenging turn based RPG with high replay value"
